ID;Edad;Sexo;Estado_Civil;Numero_Hijos;Nivel_Educativo;Zona_Vivienda;Estrato;Sector;Tamaño_Empresa;Trabajo_Turnos;Tipo_Contrato;Horas_Semana;Ingreso;Tipo_Cargo;Personas_Cargo;Años_Experiencia;Antiguedad_Cargo;Modalidad;Horas_Traslado;Horas_Formacion;CT1;CT2;CT3;PT1;PT2;PT3;PT4;CL1;CL2;CL3;CL4;CL5;CL6;CL7;AC1;AC2;AC3;CR1;CR2;CR3;CR4;CoR1;CoR2;CoR3;GC1;GC2;GC3;GC4;SM1;SM2;SM3;SM4;SM5;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;SAT7;SAT8;SAT9;IR1;IR2;IR3;IR4;FT1;FT2;FT3;FT4;FT5;TF1;TF2;TF3;TF4;TF5;BU1;BU2;BU3;BU4;BU5;BU6;BU7;BU8;BU9;BU10;BU11;BU12;BP1;BP2;BP3;BP4;BP5;BP6;BP7;BP8;BP9;BP10;SOM1;SOM2;SOM3;SOM4;SOM5;DL1;DL2;DL3;DL4;DL5;DL6;DL7;DL8;CT_prom;PT_prom;CL_prom;AC_prom;CR_prom;CoR_prom;GC_prom;SM_prom;SAT_prom;IR_prom;FT_prom;TF_prom;BU_prom;BP_prom;SOM_prom;DL_prom
1;47;Mujer;Casado;Sin hijos;Profesional;Urbana;2;Mixto;Más de 500 empleados;No;Presentación de servicios;48;Entre 1 y 3 SMLV;Operativo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;9;1;3;3;3;4;3;2;3;2;2;2;2;3;3;4;4;4;5;5;4;5;2;2;2;2;3;2;2;2;3;2;3;2;7;6;5;5;6;5;5;5;6;6;3;3;3;1;1;3;1;1;3;3;1;3;1;2;3;2;1;2;2;2;2;2;2;1;1;6;5;5;5;5;5;5;5;5;6;2;2;2;2;2;2;1;1;2;1;3;3;3;2.333333333;3;2.428571429;4;4.75;2;2.25;2.4;5.555555556;3.75;1.4;2.2;1.833333333;5.2;2;2
2;43;Mujer;Separado;3;Profesional;Urbana;3;Público;Más de 500 empleados;Si;Provisionalidad;45;Entre 1 y 3 SMLV;Administrativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;29;4;4;4;2;3;3;2;3;3;3;4;3;2;2;4;4;5;4;5;4;5;2;3;2;2;1;2;2;3;3;3;2;2;6;5;6;4;6;6;6;6;6;4;4;4;4;3;1;1;3;3;4;5;4;6;6;2;2;2;1;2;2;2;3;1;2;1;2;6;5;5;5;5;5;5;5;5;6;3;1;3;2;3;1;1;1;2;1;1;1;1;4;2.5;2.857142857;4.333333333;4.5;2.333333333;1.75;2.6;5.666666667;4;2.2;5;1.833333333;5.2;2.4;1.125
3;54;Mujer;Soltero;2;Profesional;Urbana;4;Público;Entre 50 y 200 empleados;No;Carrera;43;Entre 1 y 3 SMLV;Directivo;No;Entre 5 a 10;Entre 3 y 7 años;Presencial;Menos de 1 hora;81;3;3;3;4;3;3;3;5;5;4;4;4;5;4;3;2;2;4;5;5;4;2;2;2;4;3;4;4;2;2;2;3;2;6;5;7;5;7;7;5;7;6;7;1;1;1;4;2;2;2;4;2;3;3;2;1;3;2;2;2;2;3;2;2;2;1;2;2;6;5;6;6;5;6;5;5;6;6;6;4;5;3;5;1;1;2;1;1;1;1;2;3;3.25;4.428571429;2.333333333;4.5;2;3.75;2.2;6.111111111;2.5;2.8;2.2;2.083333333;5.6;4.6;1.25
4;46;Mujer;Casado;2;Tecnológico;Urbana;4;Público;Entre 200 y 500 empleados;No;Provisionalidad;52;Entre 1 y 3 SMLV;Administrativo;Si;Entre 5 a 10;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;5;4;4;2;1;1;2;2;4;3;4;3;2;3;3;3;2;3;4;5;5;4;2;1;2;4;3;4;3;2;2;2;2;2;7;7;7;7;7;7;7;7;7;6;3;1;3;2;2;3;3;3;4;2;3;3;1;2;2;1;2;2;3;3;2;3;2;2;3;6;6;6;6;6;7;7;6;7;6;3;3;3;3;3;1;1;1;1;1;2;1;1;3.333333333;1.5;3.142857143;2.666666667;4.5;1.666666667;3.5;2;7;3.25;2.6;2.6;2.25;6.3;3;1.125
5;38;Mujer;Soltero;4;Tecnológico;Urbana;3;Público;Entre 200 y 500 empleados;No;Presentación de servicios;44;Entre 1 y 3 SMLV;Administrativo;Si;Entre 15 a 20;Más de 10 años;Presencial;Entre 1 y 2 horas;21;2;2;2;3;4;4;4;4;4;2;4;3;4;3;4;3;2;4;3;3;4;3;4;4;3;3;4;3;5;5;5;5;5;6;6;6;6;4;4;5;6;6;5;2;3;3;1;3;3;3;3;1;3;3;3;3;5;4;3;4;5;4;4;5;5;4;5;4;3;3;5;4;4;4;4;5;4;3;4;5;4;5;2;4;5;5;4;3;4;4;4;2;3.75;3.428571429;3;3.5;3.666666667;3.25;5;5.444444444;3.25;2.6;2.6;4.333333333;3.9;4;4.125
6;36;Mujer;Soltero;2;Profesional;Urbana;3;Público;Entre 200 y 500 empleados;No;Carrera;46;Entre 3 y 5 SMLV;Directivo;No;Entre 1 a 5;Entre 3 y 7 años;Presencial;Menos de 1 hora;26;4;5;4;2;3;2;3;2;2;3;3;2;3;2;4;4;4;5;4;5;4;2;3;2;2;2;3;2;3;1;3;2;2;5;5;5;7;5;5;5;5;5;5;1;3;1;3;3;3;1;1;2;3;2;1;2;1;1;2;2;2;1;1;1;1;2;1;1;6;6;5;6;5;6;7;6;7;6;3;3;4;3;3;5;3;4;3;3;5;3;5;4.333333333;2.5;2.428571429;4;4.5;2.333333333;2.25;2.2;5.222222222;2.5;2.2;2;1.333333333;6;3.2;3.875
7;41;Hombre;Separado;Sin hijos;Posgrado;Rural;2;Público;Más de 500 empleados;No;Otro;49;Entre 1 y 3 SMLV;Directivo;Si;Más de 25;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;0;4;3;4;2;3;3;3;5;4;4;5;5;5;4;5;5;5;5;5;5;4;3;3;2;4;4;5;4;3;3;3;2;3;5;7;5;5;7;5;7;7;6;7;1;1;3;1;1;1;1;1;4;4;4;4;2;1;2;1;1;1;1;1;1;2;1;1;1;5;6;5;5;5;6;5;4;5;6;3;4;2;2;3;1;1;2;1;1;2;1;2;3.666666667;2.75;4.571428571;5;4.75;2.666666667;4.25;2.8;6;3;1;3.6;1.166666667;5.2;2.8;1.375
8;44;Hombre;Casado;3;Tecnológico;Urbana;5;Público;Más de 500 empleados;No;Carrera;46;Entre 1 y 3 SMLV;Operativo;No;Entre 10 a 15;Entre 1 y 3 años;Presencial;Menos de 1 hora;0;2;4;3;4;5;3;3;4;4;3;4;4;3;3;3;3;3;5;4;4;4;3;3;3;4;3;5;4;4;4;4;4;4;6;5;6;6;6;5;6;5;6;4;4;2;4;2;2;3;2;3;6;7;7;7;5;3;3;2;3;3;3;3;3;2;3;2;2;5;6;5;4;5;5;5;5;4;5;3;4;3;4;3;6;5;6;4;6;5;4;4;3;3.75;3.571428571;3;4.25;3;4;4;5.666666667;3.5;2.4;6.4;2.666666667;4.9;3.4;5
9;33;Mujer;Viudo;Sin hijos;Posgrado;Urbana;3;Público;Entre 200 y 500 empleados;Si;Libre nombramiento y remocion;40;Entre 1 y 3 SMLV;Administrativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;31;1;1;1;4;5;5;5;1;1;1;1;1;1;2;4;5;4;3;4;3;4;3;4;4;1;1;2;2;3;3;2;3;3;2;2;2;2;2;2;2;3;2;1;7;7;7;3;3;2;1;4;6;5;6;5;5;4;5;4;4;4;4;5;5;4;4;4;4;3;2;3;2;4;2;3;3;3;3;6;5;5;4;4;7;7;7;7;7;7;7;6;1;4.75;1.142857143;4.333333333;3.5;3.666666667;1.5;2.8;2.111111111;5.5;2.6;5.4;4.25;2.8;4.8;6.875
10;26;Hombre;Casado;2;Posgrado;Urbana;4;Mixto;Entre 10 y 50 empleados;No;Carrera;43;Entre 1 y 3 SMLV;Operativo;No;Entre 20 a 25;Menos de 1 año;Híbrido;Menos de 1 hora;7;5;5;4;1;2;2;1;3;4;3;3;4;3;3;4;4;5;3;4;4;4;3;4;3;3;3;3;3;1;1;1;1;2;4;4;4;6;6;5;4;6;4;7;3;2;2;3;1;3;3;3;6;5;4;4;4;4;2;3;3;2;3;3;2;2;2;2;2;5;6;5;6;5;6;6;5;6;6;1;2;1;1;1;1;1;1;1;1;1;1;1;4.666666667;1.5;3.285714286;4.333333333;3.75;3.333333333;3;1.2;4.777777778;3.5;2.6;4.6;2.5;5.6;1.2;1
